tokenAddress,name,symbol,logo,decimals,priceNative,priceUsd,liquidity,fullyDilutedValuation,createdAt,age_minutes,trackable
3rMHCHDYqqT6rbcwSGA7Ps3NXEF17DJQkCrWFWUopump,test1,test1,,6,0.0000000400928,0.000006410,11487.51226732,6410,2025-06-03T07:29:48.000Z,5.0,True
BEJZ3BXibNoR6reXAATgPZzEYZNPAdhhZSnAacdEpump,CryptoBurger,CBURG,,6,0.0000000280473,0.000004480,9600.619996652,4480,2025-06-03T07:29:29.000Z,5.4,True
F4Z8DyNyVduvmmerxfHUQrrTAuDr4iAJ8yqtmRv4pump,Sponge Cake,Sponge,,6,0.0000000295573,0.000004723,9858.104224622,4723,2025-06-03T07:29:27.000Z,5.4,True
3y2a8WmJzGmBVx7E4jwVmA2ytuVdhLfwvcVfHnvApump,MUMSY,MUMSY,,6,0.0000000294588,0.000004707,9841.65880055,4707,2025-06-03T07:29:26.000Z,5.4,True
6q7KMSxSUhDJrRfrsCPGsnKpxtXcPRV8byBvDL3Spump,cruc,cruc,,6,0.0000000279704,0.000004469,9589.80464733,4469,2025-06-03T07:29:09.000Z,5.7,True
qBsfkh8C1N8HFWiBpknLy2gKuxYL8CWiaJHgeESEuZA,Eye of Buh,Buh,,6,0.0000000279634,0.000004469,9591.408447674,4469,2025-06-03T07:29:04.000Z,5.8,True
5Kzaqm5zxsrprRDxAuEcGZD5mWAGPGudKrnXFA1epump,Community Meme Graveyard,RIPMEMES,,6,0.0000000279704,0.000004469,9589.80463998,4469,2025-06-03T07:28:54.000Z,5.9,True
2EURwCGkbLX1F9jNDAXHxy46eEBWifYj8PquEBSXpump,REKTILIAN,rektilian,,6,0.0000000285109,0.000004559,9689.698995174,4559,2025-06-03T07:28:54.000Z,5.9,True
9xci74DTnYP8KiEweYS3JbdLi1LWeMXNmrkYTyrnpump,chance of becoming a millionaire,1.5%,,6,0.0000000316024,0.000005053,10201.512564878,5053,2025-06-03T07:28:48.000Z,6.0,True
K51sqBTyttDeTuySX6NaerHUnpxsc9uKPLQujffpump,Monkey Cat,MonkeyCat,,6,0.000000114,0.000018299,19406.886364106,18299,2025-06-03T07:28:39.000Z,6.2,True
AduQPBW2SFyiQxVy4hxErXDsu5sgWi6PKTLGdCNhpump,mr,blobby,,6,0.0000000279677,0.000004467,9586.32108366,4467,2025-06-03T07:28:39.000Z,6.2,True
CAXtTKGN7V28TwvaG8d3RgT3M6ui356LE27v4rD5pump,1HOE=1SOL,1HOE=1SOL,,6,0.0000000284314,0.000004541,9665.460098938,4541,2025-06-03T07:28:34.000Z,6.3,True
8SbFJwuGXqsLeFQ4DoVLQUAoQWCybssjq1Vt9m3Wpump,chillcat,chillcat,,6,0.0000000281048,0.000004492,9616.385932776,4492,2025-06-03T07:28:16.000Z,6.6,True
32FWzp6RzSgprvSSPdPGV8EYVasDFw46DnVYLz3N1web,This Cant Be Vamped,GARLIC,,6,0.0000000279704,0.000004466,9583.79366433,4466,2025-06-03T07:28:16.000Z,6.6,True
8WoFKi5dDWUuXKQWyPRovK4badd1ZDFZkmtLySN2pump,pussy visible pussy,PVP,,6,0.0000000279610,0.000004467,9585.837897288,4467,2025-06-03T07:28:15.000Z,6.6,True
