2025-06-06 18:33:04,307 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:33:04,309 | INFO | 📊 active trackers: 15
2025-06-06 18:33:38,158 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:33:38,160 | INFO | 📊 active trackers: 15
2025-06-06 18:34:11,021 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:34:11,022 | INFO | 📊 active trackers: 15
2025-06-06 18:34:44,237 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:34:44,239 | INFO | 📊 active trackers: 15
2025-06-06 18:35:17,742 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:35:17,743 | INFO | 📊 active trackers: 15
2025-06-06 18:35:51,868 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:35:51,870 | INFO | 📊 active trackers: 15
2025-06-06 18:36:26,319 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:36:26,320 | INFO | 📊 active trackers: 15
2025-06-06 18:36:59,086 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:36:59,088 | INFO | 📊 active trackers: 15
2025-06-06 18:37:33,570 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:37:33,571 | INFO | 📊 active trackers: 15
2025-06-06 18:38:07,855 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:38:07,857 | INFO | 📊 active trackers: 15
2025-06-06 18:38:42,117 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:38:42,118 | INFO | 📊 active trackers: 15
2025-06-06 18:39:17,343 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
2025-06-06 18:39:17,345 | INFO | 📊 active trackers: 15
2025-06-06 18:39:51,795 | ERROR | Error while closing connector: ClientConnectionError('Connection lost: SSL shutdown timed out')
